0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:14:24 +0900] "GET /school/index.jsp HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:14:24 +0900] "GET /school/search.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:14:25 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:14:26 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:14:26 +0900] "GET /school/slist.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:14:27 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:15:28 +0900] "POST /school/i_action.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:15:31 +0900] "GET /school/slist.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:15:35 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:15:35 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:15:36 +0900] "GET /school/search.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:15:37 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:15:37 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:16:34 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:16:34 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:16:49 +0900] "GET /school/i_action.jsp?sid=22222222&subcode=A001&midscore=22&finalscore=22&attend=22&report=22&etc=22 HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:20:06 +0900] "GET /school/slist.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:20:12 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:20:12 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:20:25 +0900] "GET /school/i_action.jsp?sid=20220022&subcode=A001&midscore=22&finalscore=22&attend=22&report=22&etc=22 HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:37:12 +0900] "GET /school/i_action.jsp?sid=20220022&subcode=A001&midscore=22&finalscore=22&attend=22&report=22&etc=22 HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:37:12 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:37:15 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:40:24 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:40:27 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:40:28 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:40:28 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:45:37 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:45:38 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
183.111.204.170 - - [12/Oct/2023:18:45:40 +0900] "GET /%24%7BClass.forName%28%22com.opensymphony.webwork.ServletActionContext%22%29.getMethod%28%22getResponse%22%2Cnull%29.invoke%28null%2Cnull%29.setHeader%28%22X-Cmd-Response%22%2CClass.forName%28%22javax.script.ScriptEngineManager%22%29.newInstance%28%29.getEngineByName%28%22nashorn%22%29.eval%28%22var%20d%3D%27%27%3Bvar%20i%20%3D%20java.lang.Runtime.getRuntime%28%29.exec%28%27id%27%29.getInputStream%28%29%3B%20while%28i.available%28%29%29d%2B%3DString.fromCharCode%28i.read%28%29%29%3Bd%22%29%29%7D/ HTTP/1.1" 404 1312
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:45:43 +0900] "GET /school/search.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:45:45 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:46:02 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:47:01 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:48:10 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:48:12 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:50:00 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:52:21 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3686
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:52:22 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3686
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:55:59 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:56:10 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:56:11 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:56:11 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:56:11 +0900] "GET /school/slist.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:56:13 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:18:56:14 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:22:17 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:22:20 +0900] "GET /school/search.jsp HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:22:20 +0900] "GET /school/check.js HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:22:41 +0900] "GET /school/search.jsp HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:22:41 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:31:45 +0900] "GET /school/search.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:31:45 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:31:51 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:48 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:48 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:50 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:50 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:51 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:51 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:52 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:52 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:52 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:52 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:53 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:53 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:33:59 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:34:43 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:34:43 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:34:59 +0900] "GET /school/search.jsp?subcode=A001 HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:35:05 +0900] "GET /school/search.jsp?subcode=A002 HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:35:18 +0900] "GET /school/search.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:36:36 +0900] "GET /school/search.jsp?subcode=A002 HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:36:36 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:36:49 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:36:52 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:36:55 +0900] "GET /school/slist.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:36:59 +0900] "GET /school/index.jsp HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:39:34 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:39:34 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:39:35 +0900] "GET /school/slist.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:39:38 +0900] "GET /school/insert.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:39:39 +0900] "GET /school/jumlist.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:39:44 +0900] "GET /school/search.jsp HTTP/1.1" 200 2246
183.111.204.170 - - [12/Oct/2023:19:46:55 +0900] "GET /%24%7BClass.forName%28%22com.opensymphony.webwork.ServletActionContext%22%29.getMethod%28%22getResponse%22%2Cnull%29.invoke%28null%2Cnull%29.setHeader%28%22X-Cmd-Response%22%2CClass.forName%28%22javax.script.ScriptEngineManager%22%29.newInstance%28%29.getEngineByName%28%22nashorn%22%29.eval%28%22var%20d%3D%27%27%3Bvar%20i%20%3D%20java.lang.Runtime.getRuntime%28%29.exec%28%27id%27%29.getInputStream%28%29%3B%20while%28i.available%28%29%29d%2B%3DString.fromCharCode%28i.read%28%29%29%3Bd%22%29%29%7D/ HTTP/1.1" 404 1312
198.235.24.22 - - [12/Oct/2023:20:05:56 +0900] "-" 400 2163
198.235.24.22 - - [12/Oct/2023:20:05:56 +0900] "-" 400 2163
0:0:0:0:0:0:0:1 - - [12/Oct/2023:20:41:59 +0900] "GET /school/search.jsp?subcode=A003 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [12/Oct/2023:20:41:59 +0900] "GET /school/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:20:42:04 +0900] "GET /school/search.jsp?subcode=A002 HTTP/1.1" 200 2758
